id,text,user_age,platform,toxicity_score,label
57,"You're such a loser, go away!",12,Twitter,0.62,1
58,"You're so ugly, no one likes you!",18,Facebook,0.62,1
59,You should just quit social media.,14,Instagram,0.51,1
60,Happy birthday! Hope you have a great day.,11,Facebook,0.16,0
61,Happy birthday! Hope you have a great day.,12,Instagram,0.31,0
62,"Nice post! Just kidding, it's terrible.",12,Twitter,0.99,1
63,You should just quit social media.,18,Facebook,0.71,1
64,"You're such a loser, go away!",16,Snapchat,0.89,1
65,I can't believe how dumb you are.,14,Snapchat,0.91,1
66,"Hey, how's your day going?",15,TikTok,0.14,0
67,I love your new post!,13,Facebook,0.11,0
68,Nobody wants to be your friend.,17,Snapchat,0.87,1
69,"Nice post! Just kidding, it's terrible.",14,Snapchat,0.71,1
70,I can't believe how dumb you are.,12,Facebook,0.72,1
71,"That was a fun game, well played!",10,Snapchat,0.27,0
72,"Nice post! Just kidding, it's terrible.",11,Instagram,0.61,1
73,Good luck on your exam tomorrow!,16,Facebook,0.28,0
74,"You're so ugly, no one likes you!",14,Twitter,0.89,1
75,"You're worthless, just disappear.",18,Snapchat,0.53,1
76,"You're such a loser, go away!",18,Snapchat,0.63,1
77,"You're worthless, just disappear.",12,Snapchat,0.89,1
78,Good luck on your exam tomorrow!,16,Twitter,0.08,0
79,That's a cool picture!,15,TikTok,0.4,0
80,Let's meet up this weekend.,15,Twitter,0.16,0
81,"Nice post! Just kidding, it's terrible.",16,Twitter,0.53,1
82,You should just quit social media.,15,Facebook,0.52,1
83,You should just quit social media.,14,Instagram,0.55,1
84,You should just quit social media.,12,Snapchat,0.77,1
85,"You're so ugly, no one likes you!",10,Twitter,0.67,1
86,Happy birthday! Hope you have a great day.,13,TikTok,0.17,0
87,Let's meet up this weekend.,10,TikTok,0.28,0
88,"You're worthless, just disappear.",17,Facebook,0.55,1
89,I can't believe how dumb you are.,15,Snapchat,0.56,1
90,"You're such a loser, go away!",11,Twitter,0.93,1
91,Good luck on your exam tomorrow!,11,Instagram,0.08,0
92,Nobody wants to be your friend.,17,Instagram,0.66,1
93,Nobody wants to be your friend.,16,Twitter,0.68,1
94,Let's meet up this weekend.,16,Twitter,0.01,0
95,"That was a fun game, well played!",10,Snapchat,0.38,0
96,Let's meet up this weekend.,12,Snapchat,0.25,0
97,Good luck on your exam tomorrow!,18,TikTok,0.27,0
98,"You're worthless, just disappear.",11,Facebook,0.93,1
99,You should just quit social media.,10,Snapchat,0.71,1
100,"You're worthless, just disappear.",17,Instagram,0.85,1
101,"That was a fun game, well played!",10,TikTok,0.29,0
102,Good luck on your exam tomorrow!,16,Instagram,0.37,0
103,"You're so ugly, no one likes you!",11,Snapchat,0.58,1
104,"That was a fun game, well played!",15,Facebook,0.11,0
105,Happy birthday! Hope you have a great day.,18,Twitter,0.25,0
106,"Hey, how's your day going?",17,Twitter,0.4,0
107,"You're worthless, just disappear.",12,Snapchat,0.89,1
108,That's a cool picture!,14,Instagram,0.16,0
109,"You're such a loser, go away!",13,TikTok,0.85,1
110,"That was a fun game, well played!",12,Snapchat,0.19,0
111,I love your new post!,14,Instagram,0.35,0
112,"You're worthless, just disappear.",16,TikTok,0.87,1
113,Let's meet up this weekend.,17,Facebook,0.12,0
114,"You're so ugly, no one likes you!",11,Facebook,0.88,1
115,Happy birthday! Hope you have a great day.,10,TikTok,0.12,0
116,"You're such a loser, go away!",18,TikTok,0.79,1
117,I love your new post!,18,Instagram,0.15,0
118,"Nice post! Just kidding, it's terrible.",12,Instagram,0.83,1
119,"You're so ugly, no one likes you!",14,Instagram,0.82,1
120,That's a cool picture!,11,Snapchat,0.04,0
121,"Nice post! Just kidding, it's terrible.",13,Snapchat,0.86,1
122,I love your new post!,17,Snapchat,0.1,0
123,Nobody wants to be your friend.,11,Facebook,0.87,1
124,Good luck on your exam tomorrow!,11,Instagram,0.34,0
125,Happy birthday! Hope you have a great day.,16,Snapchat,0.23,0
126,I love your new post!,10,Snapchat,0.05,0
127,"You're so ugly, no one likes you!",12,TikTok,0.8,1
128,Good luck on your exam tomorrow!,17,Instagram,0.31,0
129,Nobody wants to be your friend.,14,Facebook,0.6,1
130,Happy birthday! Hope you have a great day.,15,Instagram,0.14,0
131,"You're so ugly, no one likes you!",18,Snapchat,0.74,1
132,"You're such a loser, go away!",10,Instagram,0.55,1
133,"You're worthless, just disappear.",11,Instagram,0.78,1
134,"You're such a loser, go away!",11,TikTok,0.89,1
135,Nobody wants to be your friend.,18,Facebook,0.78,1
136,"You're such a loser, go away!",12,Facebook,0.83,1
137,"You're so ugly, no one likes you!",10,Facebook,0.92,1
138,"Nice post! Just kidding, it's terrible.",13,Snapchat,0.79,1
139,Happy birthday! Hope you have a great day.,15,Twitter,0.22,0
140,"You're so ugly, no one likes you!",17,Twitter,0.53,1
141,That's a cool picture!,15,Instagram,0.08,0
142,Happy birthday! Hope you have a great day.,14,TikTok,0.29,0
143,"That was a fun game, well played!",10,Instagram,0.32,0
144,"Nice post! Just kidding, it's terrible.",13,TikTok,0.97,1
145,Happy birthday! Hope you have a great day.,10,Snapchat,0.02,0
146,That's a cool picture!,16,Snapchat,0.03,0
147,I love your new post!,17,Snapchat,0.04,0
148,That's a cool picture!,11,Snapchat,0.34,0
149,"You're so ugly, no one likes you!",18,Instagram,0.66,1
150,"Hey, how's your day going?",15,Twitter,0.08,0
151,I love your new post!,10,Facebook,0.17,0
152,I love your new post!,15,Facebook,0.15,0
153,"You're such a loser, go away!",18,Instagram,0.83,1
154,That's a cool picture!,18,Instagram,0.04,0
155,Happy birthday! Hope you have a great day.,10,TikTok,0.09,0
156,"Nice post! Just kidding, it's terrible.",10,Twitter,0.71,1
157,You should just quit social media.,12,Twitter,0.85,1
158,"Nice post! Just kidding, it's terrible.",17,Facebook,0.72,1
159,I can't believe how dumb you are.,16,Snapchat,0.71,1
160,Nobody wants to be your friend.,14,TikTok,0.79,1
161,"You're so ugly, no one likes you!",14,Instagram,0.7,1
162,Let's meet up this weekend.,15,Twitter,0.11,0
163,"You're such a loser, go away!",12,TikTok,0.5,1
164,"You're such a loser, go away!",13,TikTok,0.78,1
165,Nobody wants to be your friend.,12,Snapchat,0.53,1
166,That's a cool picture!,12,Snapchat,0.23,0
167,"You're so ugly, no one likes you!",14,Instagram,0.99,1
168,"You're so ugly, no one likes you!",12,Facebook,0.54,1
169,Nobody wants to be your friend.,18,TikTok,0.83,1
170,"Nice post! Just kidding, it's terrible.",16,Snapchat,0.93,1
171,Happy birthday! Hope you have a great day.,12,Instagram,0.23,0
172,You should just quit social media.,13,Snapchat,0.67,1
173,"Nice post! Just kidding, it's terrible.",16,Instagram,0.77,1
174,I can't believe how dumb you are.,17,TikTok,0.93,1
175,"You're so ugly, no one likes you!",16,Snapchat,0.92,1
176,That's a cool picture!,15,Instagram,0.02,0
177,Let's meet up this weekend.,11,Facebook,0.15,0
178,"You're so ugly, no one likes you!",12,Twitter,0.85,1
179,"You're so ugly, no one likes you!",15,Snapchat,0.87,1
180,"You're worthless, just disappear.",12,Snapchat,0.78,1
181,You should just quit social media.,14,Snapchat,0.56,1
182,"You're so ugly, no one likes you!",18,Instagram,0.97,1
183,Happy birthday! Hope you have a great day.,14,Facebook,0.16,0
184,That's a cool picture!,12,Facebook,0.29,0
185,"You're so ugly, no one likes you!",11,Facebook,0.75,1
186,Nobody wants to be your friend.,15,Snapchat,0.91,1
187,That's a cool picture!,14,Twitter,0.13,0
188,"Nice post! Just kidding, it's terrible.",17,Instagram,0.85,1
189,I can't believe how dumb you are.,16,TikTok,0.75,1
190,Happy birthday! Hope you have a great day.,14,Instagram,0.3,0
191,Good luck on your exam tomorrow!,16,Snapchat,0.37,0
192,"You're worthless, just disappear.",11,Snapchat,0.73,1
193,"You're worthless, just disappear.",13,Instagram,0.55,1
194,Let's meet up this weekend.,13,Snapchat,0.06,0
195,"Nice post! Just kidding, it's terrible.",12,TikTok,0.65,1
196,"You're so ugly, no one likes you!",11,TikTok,0.54,1
197,That's a cool picture!,11,Twitter,0.21,0
198,I love your new post!,16,TikTok,0.26,0
199,I can't believe how dumb you are.,10,Instagram,0.62,1
200,Let's meet up this weekend.,15,Twitter,0.07,0
201,Nobody wants to be your friend.,11,Snapchat,0.7,1
202,"Hey, how's your day going?",17,Snapchat,0.18,0
203,Good luck on your exam tomorrow!,15,Twitter,0.37,0
204,I can't believe how dumb you are.,13,Twitter,0.76,1
205,"You're worthless, just disappear.",16,TikTok,0.52,1
206,"You're such a loser, go away!",11,TikTok,0.89,1
207,"That was a fun game, well played!",14,TikTok,0.38,0
208,That's a cool picture!,12,TikTok,0.02,0
209,"Hey, how's your day going?",16,TikTok,0.09,0
210,I love your new post!,11,Snapchat,0.36,0
211,"You're such a loser, go away!",10,Twitter,0.78,1
212,Happy birthday! Hope you have a great day.,18,TikTok,0.3,0
213,"Nice post! Just kidding, it's terrible.",12,Twitter,0.92,1
214,Let's meet up this weekend.,17,Instagram,0.36,0
215,"You're worthless, just disappear.",13,Instagram,0.64,1
216,"You're so ugly, no one likes you!",17,Facebook,0.57,1
217,"You're such a loser, go away!",18,Facebook,0.52,1
218,I love your new post!,14,Instagram,0.19,0
219,"Hey, how's your day going?",18,Snapchat,0.12,0
220,Nobody wants to be your friend.,10,Twitter,0.96,1
221,"You're such a loser, go away!",15,Snapchat,0.88,1
222,"Hey, how's your day going?",13,Facebook,0.06,0
223,I love your new post!,14,Instagram,0.17,0
224,Happy birthday! Hope you have a great day.,16,Twitter,0.08,0
225,I love your new post!,17,Instagram,0.05,0
226,I can't believe how dumb you are.,18,Twitter,0.75,1
227,"Nice post! Just kidding, it's terrible.",10,Twitter,0.9,1
228,"That was a fun game, well played!",14,Twitter,0.22,0
229,Nobody wants to be your friend.,11,Snapchat,0.79,1
230,"You're so ugly, no one likes you!",17,Twitter,0.67,1
231,Good luck on your exam tomorrow!,10,Facebook,0.07,0
232,"That was a fun game, well played!",16,Twitter,0.27,0
233,"Hey, how's your day going?",16,Snapchat,0.07,0
234,I love your new post!,17,Snapchat,0.21,0
235,"You're such a loser, go away!",13,Facebook,0.88,1
236,I can't believe how dumb you are.,14,Snapchat,0.56,1
237,"Nice post! Just kidding, it's terrible.",13,Instagram,0.51,1
238,I can't believe how dumb you are.,16,Snapchat,0.56,1
239,I can't believe how dumb you are.,14,Facebook,0.65,1
240,"Hey, how's your day going?",14,Snapchat,0.03,0
241,"You're worthless, just disappear.",17,Facebook,0.81,1
242,"You're worthless, just disappear.",16,Facebook,0.62,1
243,"You're such a loser, go away!",16,Instagram,0.97,1
244,"Nice post! Just kidding, it's terrible.",10,Twitter,0.5,1
245,"You're worthless, just disappear.",11,Facebook,0.9,1
246,Nobody wants to be your friend.,14,Twitter,0.88,1
247,You should just quit social media.,13,Twitter,0.76,1
248,"Hey, how's your day going?",17,Snapchat,0.09,0
249,Happy birthday! Hope you have a great day.,10,Snapchat,0.24,0
250,That's a cool picture!,13,TikTok,0.05,0
251,I love your new post!,11,Snapchat,0.18,0
252,"Nice post! Just kidding, it's terrible.",10,Snapchat,0.65,1
253,"You're worthless, just disappear.",18,Twitter,0.76,1
254,"You're worthless, just disappear.",11,TikTok,0.85,1
255,I love your new post!,15,TikTok,0.24,0
256,"Nice post! Just kidding, it's terrible.",16,Snapchat,0.85,1
257,"Hey, how's your day going?",17,Instagram,0.39,0
258,"You're so ugly, no one likes you!",12,Instagram,0.71,1
259,"That was a fun game, well played!",16,Facebook,0.12,0
260,Good luck on your exam tomorrow!,12,Facebook,0.18,0
261,I love your new post!,15,Twitter,0.03,0
262,"You're such a loser, go away!",16,Facebook,0.73,1
263,Nobody wants to be your friend.,12,Snapchat,0.6,1
264,"You're such a loser, go away!",16,Twitter,0.73,1
265,Nobody wants to be your friend.,18,Snapchat,0.96,1
266,Good luck on your exam tomorrow!,16,Facebook,0.12,0
267,Happy birthday! Hope you have a great day.,10,Twitter,0.11,0
268,That's a cool picture!,15,Instagram,0.31,0
269,"Nice post! Just kidding, it's terrible.",11,Instagram,0.56,1
270,"You're such a loser, go away!",18,Instagram,0.76,1
271,"Hey, how's your day going?",15,Facebook,0.12,0
272,That's a cool picture!,10,Snapchat,0.34,0
273,Happy birthday! Hope you have a great day.,12,Instagram,0.27,0
274,Good luck on your exam tomorrow!,16,TikTok,0.32,0
275,Let's meet up this weekend.,14,Instagram,0.32,0
276,"You're worthless, just disappear.",15,Instagram,0.64,1
277,"You're worthless, just disappear.",10,Instagram,0.78,1
278,"You're such a loser, go away!",14,Twitter,0.78,1
279,"Nice post! Just kidding, it's terrible.",14,TikTok,0.99,1
280,You should just quit social media.,18,Twitter,0.78,1
281,"Hey, how's your day going?",10,Twitter,0.07,0
282,I can't believe how dumb you are.,12,Snapchat,0.96,1
283,"That was a fun game, well played!",10,TikTok,0.23,0
284,Nobody wants to be your friend.,15,Instagram,0.52,1
285,"Hey, how's your day going?",17,Snapchat,0.07,0
286,"That was a fun game, well played!",12,TikTok,0.38,0
287,"Hey, how's your day going?",14,Snapchat,0.38,0
288,Let's meet up this weekend.,10,Twitter,0.25,0
289,"You're such a loser, go away!",13,Instagram,0.76,1
290,"That was a fun game, well played!",10,Snapchat,0.09,0
291,"You're such a loser, go away!",10,Facebook,0.59,1
292,Let's meet up this weekend.,10,Facebook,0.12,0
293,I love your new post!,17,Instagram,0.34,0
294,Nobody wants to be your friend.,14,TikTok,0.72,1
295,Nobody wants to be your friend.,15,Snapchat,0.88,1
296,Let's meet up this weekend.,16,Twitter,0.27,0
297,Let's meet up this weekend.,17,Twitter,0.38,0
298,I love your new post!,12,Facebook,0.39,0
299,"That was a fun game, well played!",15,Instagram,0.3,0
300,That's a cool picture!,10,Twitter,0.12,0
301,"Nice post! Just kidding, it's terrible.",17,Snapchat,0.67,1
302,"You're so ugly, no one likes you!",10,Twitter,0.88,1
303,I can't believe how dumb you are.,13,Instagram,0.93,1
304,"You're such a loser, go away!",16,TikTok,0.96,1
305,"Nice post! Just kidding, it's terrible.",14,Facebook,0.93,1
306,Good luck on your exam tomorrow!,18,Instagram,0.39,0
307,Happy birthday! Hope you have a great day.,12,Twitter,0.0,0
308,Nobody wants to be your friend.,12,Snapchat,0.93,1
309,"You're so ugly, no one likes you!",11,TikTok,0.93,1
310,Nobody wants to be your friend.,15,Facebook,0.65,1
311,You should just quit social media.,15,Instagram,0.64,1
312,You should just quit social media.,16,Facebook,0.9,1
313,"Nice post! Just kidding, it's terrible.",17,Instagram,0.89,1
314,Nobody wants to be your friend.,12,TikTok,0.94,1
315,"You're worthless, just disappear.",15,Twitter,0.65,1
316,"Hey, how's your day going?",15,Instagram,0.4,0
317,I can't believe how dumb you are.,15,Facebook,0.6,1
318,"Hey, how's your day going?",18,Facebook,0.05,0
319,Happy birthday! Hope you have a great day.,11,Snapchat,0.35,0
320,I can't believe how dumb you are.,18,Snapchat,0.65,1
321,I can't believe how dumb you are.,11,Instagram,0.89,1
322,"You're worthless, just disappear.",18,Instagram,0.63,1
323,Nobody wants to be your friend.,16,Facebook,0.95,1
324,That's a cool picture!,17,Snapchat,0.18,0
325,You should just quit social media.,11,TikTok,0.91,1
326,I can't believe how dumb you are.,10,Instagram,0.82,1
327,I love your new post!,12,Snapchat,0.16,0
328,You should just quit social media.,16,TikTok,0.62,1
329,Nobody wants to be your friend.,18,Twitter,0.53,1
330,"That was a fun game, well played!",18,TikTok,0.2,0
331,"Hey, how's your day going?",10,Twitter,0.35,0
332,Nobody wants to be your friend.,11,TikTok,0.62,1
333,"Hey, how's your day going?",16,Snapchat,0.13,0
334,You should just quit social media.,10,Instagram,0.65,1
335,"You're such a loser, go away!",14,Snapchat,0.67,1
336,Happy birthday! Hope you have a great day.,15,Twitter,0.04,0
337,I can't believe how dumb you are.,17,Instagram,0.96,1
338,"Hey, how's your day going?",13,Instagram,0.1,0
339,"Nice post! Just kidding, it's terrible.",11,Snapchat,0.83,1
340,Nobody wants to be your friend.,10,Facebook,0.54,1
341,"You're such a loser, go away!",10,TikTok,0.92,1
342,"That was a fun game, well played!",12,TikTok,0.28,0
343,"You're such a loser, go away!",16,Twitter,0.6,1
344,"You're such a loser, go away!",12,Instagram,0.97,1
345,I love your new post!,13,Facebook,0.19,0
346,Let's meet up this weekend.,13,Facebook,0.34,0
347,Good luck on your exam tomorrow!,11,Twitter,0.32,0
348,"You're so ugly, no one likes you!",10,Twitter,0.55,1
349,You should just quit social media.,12,Snapchat,0.77,1
350,"Hey, how's your day going?",11,Instagram,0.22,0
351,That's a cool picture!,10,Facebook,0.25,0
352,"You're worthless, just disappear.",15,TikTok,0.81,1
353,"You're such a loser, go away!",14,TikTok,0.7,1
354,"That was a fun game, well played!",16,Twitter,0.23,0
355,You should just quit social media.,12,Snapchat,0.78,1
356,I love your new post!,15,Snapchat,0.34,0
357,You should just quit social media.,13,TikTok,0.9,1
358,That's a cool picture!,12,Twitter,0.01,0
359,"You're worthless, just disappear.",16,Twitter,0.96,1
360,"You're such a loser, go away!",10,Snapchat,1.0,1
361,I love your new post!,12,Instagram,0.07,0
362,Happy birthday! Hope you have a great day.,15,Snapchat,0.27,0
363,"Hey, how's your day going?",10,Instagram,0.05,0
364,"Hey, how's your day going?",13,TikTok,0.3,0
365,That's a cool picture!,13,Twitter,0.13,0
366,"You're such a loser, go away!",13,TikTok,0.68,1
367,"You're so ugly, no one likes you!",16,Instagram,0.95,1
368,Let's meet up this weekend.,12,TikTok,0.2,0
369,"Hey, how's your day going?",10,Snapchat,0.24,0
370,Nobody wants to be your friend.,15,Instagram,0.78,1
371,"You're such a loser, go away!",14,Instagram,0.8,1
372,That's a cool picture!,11,Instagram,0.36,0
373,"You're such a loser, go away!",16,Instagram,0.81,1
374,Let's meet up this weekend.,15,Twitter,0.29,0
375,Good luck on your exam tomorrow!,16,Twitter,0.21,0
376,Nobody wants to be your friend.,10,TikTok,0.64,1
377,Good luck on your exam tomorrow!,14,Instagram,0.16,0
378,"You're such a loser, go away!",13,Twitter,0.82,1
379,You should just quit social media.,16,TikTok,0.8,1
380,"You're worthless, just disappear.",11,Snapchat,0.65,1
381,That's a cool picture!,15,Snapchat,0.31,0
382,You should just quit social media.,16,TikTok,0.53,1
383,Good luck on your exam tomorrow!,12,Snapchat,0.13,0
384,"You're such a loser, go away!",18,Snapchat,0.84,1
385,Nobody wants to be your friend.,14,TikTok,0.62,1
386,Happy birthday! Hope you have a great day.,11,Instagram,0.36,0
387,Nobody wants to be your friend.,17,Twitter,0.55,1
388,"You're worthless, just disappear.",11,Instagram,0.82,1
389,I love your new post!,17,TikTok,0.19,0
390,"You're such a loser, go away!",12,Twitter,0.77,1
391,"You're so ugly, no one likes you!",18,TikTok,0.69,1
392,Happy birthday! Hope you have a great day.,12,Snapchat,0.3,0
393,"That was a fun game, well played!",11,Snapchat,0.38,0
394,Happy birthday! Hope you have a great day.,12,TikTok,0.33,0
395,"Nice post! Just kidding, it's terrible.",13,Instagram,0.95,1
396,"That was a fun game, well played!",14,Facebook,0.12,0
397,I love your new post!,17,Facebook,0.04,0
398,"Hey, how's your day going?",12,Facebook,0.32,0
399,"Nice post! Just kidding, it's terrible.",14,Facebook,0.67,1
400,"You're such a loser, go away!",15,Snapchat,0.93,1
401,You should just quit social media.,18,Twitter,0.87,1
402,I love your new post!,18,Twitter,0.03,0
403,I can't believe how dumb you are.,11,Twitter,0.85,1
404,"Hey, how's your day going?",13,Snapchat,0.36,0
405,That's a cool picture!,11,Facebook,0.05,0
406,"Nice post! Just kidding, it's terrible.",15,Facebook,0.87,1
407,Happy birthday! Hope you have a great day.,18,Instagram,0.06,0
408,"You're such a loser, go away!",13,Twitter,0.64,1
409,"You're worthless, just disappear.",18,Twitter,0.64,1
410,"You're so ugly, no one likes you!",18,Facebook,0.96,1
411,"You're so ugly, no one likes you!",15,Snapchat,0.9,1
412,You should just quit social media.,11,Twitter,0.69,1
413,"Nice post! Just kidding, it's terrible.",17,Snapchat,0.84,1
414,"Hey, how's your day going?",12,TikTok,0.22,0
415,"You're worthless, just disappear.",12,Facebook,0.55,1
416,"Nice post! Just kidding, it's terrible.",13,Instagram,0.96,1
417,"You're worthless, just disappear.",16,Facebook,0.59,1
418,"You're worthless, just disappear.",17,Snapchat,0.88,1
419,That's a cool picture!,17,TikTok,0.15,0
420,"That was a fun game, well played!",13,Snapchat,0.14,0
421,"You're such a loser, go away!",15,Facebook,0.5,1
422,Happy birthday! Hope you have a great day.,14,Twitter,0.29,0
423,Let's meet up this weekend.,11,Snapchat,0.32,0
424,Let's meet up this weekend.,10,Twitter,0.1,0
425,Good luck on your exam tomorrow!,10,Instagram,0.35,0
426,Happy birthday! Hope you have a great day.,11,Twitter,0.39,0
427,"That was a fun game, well played!",15,Instagram,0.05,0
428,"That was a fun game, well played!",10,Instagram,0.02,0
429,I love your new post!,11,Twitter,0.15,0
430,Let's meet up this weekend.,16,Facebook,0.32,0
431,Nobody wants to be your friend.,15,Snapchat,0.82,1
432,I love your new post!,15,Twitter,0.39,0
433,I love your new post!,12,Instagram,0.38,0
434,Nobody wants to be your friend.,16,Facebook,0.77,1
435,Nobody wants to be your friend.,11,Instagram,0.56,1
436,You should just quit social media.,14,Twitter,0.72,1
437,"You're so ugly, no one likes you!",13,Instagram,0.88,1
438,I love your new post!,13,Twitter,0.02,0
439,Good luck on your exam tomorrow!,18,TikTok,0.22,0
440,Let's meet up this weekend.,15,Twitter,0.04,0
441,Let's meet up this weekend.,13,TikTok,0.09,0
442,"That was a fun game, well played!",18,Instagram,0.11,0
443,Nobody wants to be your friend.,18,TikTok,0.89,1
444,Let's meet up this weekend.,12,Facebook,0.36,0
445,Nobody wants to be your friend.,13,Twitter,0.69,1
446,Good luck on your exam tomorrow!,18,Snapchat,0.26,0
447,"That was a fun game, well played!",13,TikTok,0.33,0
448,I love your new post!,16,TikTok,0.28,0
449,"That was a fun game, well played!",16,Snapchat,0.2,0
450,"That was a fun game, well played!",14,Twitter,0.25,0
451,Good luck on your exam tomorrow!,13,Snapchat,0.32,0
452,That's a cool picture!,14,Snapchat,0.12,0
453,"You're so ugly, no one likes you!",10,Twitter,0.91,1
454,I love your new post!,18,Snapchat,0.3,0
455,Nobody wants to be your friend.,14,Instagram,0.79,1
456,"You're so ugly, no one likes you!",18,TikTok,0.64,1
457,Nobody wants to be your friend.,14,Instagram,1.0,1
458,That's a cool picture!,12,Facebook,0.22,0
459,Nobody wants to be your friend.,15,Twitter,0.85,1
460,"Hey, how's your day going?",13,Instagram,0.18,0
461,"You're worthless, just disappear.",14,Instagram,0.97,1
462,"That was a fun game, well played!",13,TikTok,0.3,0
463,You should just quit social media.,15,Facebook,0.75,1
464,Happy birthday! Hope you have a great day.,18,Instagram,0.02,0
465,"That was a fun game, well played!",18,Instagram,0.2,0
466,I love your new post!,17,Snapchat,0.31,0
467,"You're so ugly, no one likes you!",13,Instagram,0.94,1
468,"Hey, how's your day going?",12,Instagram,0.21,0
469,Nobody wants to be your friend.,17,Facebook,0.75,1
470,"That was a fun game, well played!",17,Snapchat,0.12,0
471,Let's meet up this weekend.,11,Instagram,0.06,0
472,"Hey, how's your day going?",17,TikTok,0.3,0
473,"Hey, how's your day going?",18,TikTok,0.31,0
474,"You're worthless, just disappear.",13,TikTok,0.92,1
475,"That was a fun game, well played!",12,TikTok,0.29,0
476,I can't believe how dumb you are.,17,Facebook,0.72,1
477,Nobody wants to be your friend.,12,Snapchat,0.78,1
478,I love your new post!,11,Snapchat,0.34,0
479,Happy birthday! Hope you have a great day.,12,Snapchat,0.21,0
480,"You're so ugly, no one likes you!",15,Facebook,0.7,1
481,Happy birthday! Hope you have a great day.,17,Facebook,0.24,0
482,Nobody wants to be your friend.,10,Instagram,0.55,1
483,"Hey, how's your day going?",17,TikTok,0.21,0
484,That's a cool picture!,14,Snapchat,0.17,0
485,I love your new post!,15,TikTok,0.13,0
486,Nobody wants to be your friend.,13,Snapchat,0.65,1
487,"Nice post! Just kidding, it's terrible.",18,Facebook,0.95,1
488,Let's meet up this weekend.,11,Snapchat,0.11,0
489,That's a cool picture!,18,Twitter,0.2,0
490,I love your new post!,13,Facebook,0.04,0
491,Let's meet up this weekend.,14,Twitter,0.32,0
492,"Hey, how's your day going?",11,Snapchat,0.13,0
493,"You're so ugly, no one likes you!",12,Facebook,0.6,1
494,I love your new post!,12,Instagram,0.28,0
495,"Hey, how's your day going?",18,Facebook,0.36,0
496,That's a cool picture!,15,Instagram,0.11,0
497,"You're such a loser, go away!",16,TikTok,0.84,1
498,"You're such a loser, go away!",11,Facebook,0.89,1
499,I love your new post!,12,Facebook,0.31,0
500,That's a cool picture!,12,TikTok,0.12,0
